Date,Open,High,Low,Close(t),Volume,SD20,Upper_Band,Lower_Band,S_Close(t-1),S_Close(t-2),S_Close(t-3),S_Close(t-5),S_Open(t-1),MA5,MA10,MA20,MA50,MA200,EMA10,EMA20,EMA50,EMA100,EMA200,MACD,MACD_EMA,CCI,ROC,SO%K,STD5,ForceIndex1,ForceIndex20,Date_col,Day,DayofWeek,DayofYear,Week,Is_month_end,Is_month_start,Is_quarter_end,Is_quarter_start,Is_year_end,Is_year_start,Is_leap_year,Year,Month,QQQ_Close,QQQ(t-1),QQQ(t-2),QQQ(t-5),QQQ_MA10,QQQ_MA20,QQQ_MA50,SnP_Close,SnP(t-1)),SnP(t-5),DJIA_Close,DJIA(t-1)),DJIA(t-5),Close_forcast
2016-03-02,23.406238251065293,23.494730003718885,23.203636608116568,23.462127685546875,132678400,0.44676044577483703,23.305147230508414,21.518105447409066,23.4108943939209,22.516653060913086,22.567882537841797,22.37925148010254,22.740215866384343,22.898102951049804,22.626336669921876,22.41162633895874,22.984155158996582,26.30664105415344,23.01261875039829,23.01261875039829,23.01261875039829,23.01261875039829,23.01261875039829,0.014079346323352837,-0.17960178469634544,1333.3333333333335,2.680402560809629,98.31326266507617,0.017139039128735635,6797551.159667969,209481794.94628906,2016-03-02,2,2,62,9,0,0,0,0,0,0,1,2016,3,101.4316177368164,101.3932876586914,98.24000549316406,98.28791809082031,98.861083984375,96.79468955993653,99.81895080566406,1986.449951171875,1978.3499755859375,1929.800048828125,16899.3203125,16865.080078125,16484.990234375,23.636777877807617
2016-03-03,23.42253361803077,23.685681342972376,23.392258775291168,23.636777877807617,147822800,0.5230002209747631,23.52364660207526,21.431645718176206,23.462127685546875,23.4108943939209,22.516653060913086,22.532957077026367,23.406238251065293,23.118867111206054,22.748362922668456,22.477646160125733,22.965721855163576,26.275372409820555,23.220671792868067,23.220671792868067,23.220671792868067,23.220671792868067,23.220671792868067,0.08773682851381537,-0.12613406205431327,1333.3333333333333,5.443587053539141,97.58621069627208,0.017117933644617698,25817280.44052124,195184696.40808105,2016-03-03,3,3,63,9,0,0,0,0,0,0,1,2016,3,101.23993682861328,101.4316177368164,101.3932876586914,99.2559585571289,99.27321243286133,96.98493995666504,99.73844192504883,1993.4000244140625,1986.449951171875,1951.699951171875,16943.900390625,16899.3203125,16697.2890625,23.988418579101562
2016-03-04,23.839378942844178,24.1607453253943,23.606504289105438,23.988418579101562,184220400,0.622716947857943,23.797716324457344,21.30684853302557,23.636777877807617,23.462127685546875,23.4108943939209,22.567882537841797,23.42253361803077,23.402974319458007,22.910676574707033,22.552282428741456,22.948299369812013,26.24599970817566,23.476587388279235,23.476587388279235,23.476587388279235,23.476587388279235,23.476587388279235,0.17249694225897727,-0.06640786119165516,1333.3333333333335,7.257393473171963,92.90510896097346,0.016555009758553306,64779390.64865112,274990465.1779175,2016-03-04,4,4,64,9,0,0,0,0,0,0,1,2016,3,101.27826690673828,101.23993682861328,101.4316177368164,99.13137817382812,99.66042251586914,97.17758598327637,99.63531356811524,1999.989990234375,1993.4000244140625,1948.050048828125,17006.76953125,16943.900390625,16639.970703125,23.722946166992188
2016-03-07,23.844040228422305,23.946505664265985,23.51102933862329,23.722946166992188,143315600,0.6544959277771812,23.95267767327287,21.334693962164142,23.988418579101562,23.636777877807617,23.462127685546875,22.516653060913086,23.839378942844178,23.644232940673827,23.026881217956543,22.643685817718506,22.926030654907226,26.215311164855958,23.558706981183555,23.558706981183555,23.558706981183555,23.558706981183555,23.558706981183555,0.21576137522712457,-0.009974013907899218,1333.3333333333335,5.150709617836177,81.97530335445421,0.018815624472618555,-38046338.024902344,261990630.66558838,2016-03-07,7,0,67,10,0,0,0,0,0,0,1,2016,3,100.6552734375,101.27826690673828,101.23993682861328,98.24000549316406,99.82719116210937,97.50824699401855,99.50573211669922,2001.760009765625,1999.989990234375,1932.22998046875,17073.94921875,17006.76953125,16516.5,23.527326583862305
2016-03-08,23.469107918940665,23.697325867178265,23.38061618786913,23.527326583862305,126247600,0.6709337446982684,24.055648560105766,21.37191358131269,23.722946166992188,23.988418579101562,23.636777877807617,23.4108943939209,23.844040228422305,23.66751937866211,23.174523544311523,22.713781070709228,22.893456840515135,26.182117691040037,23.54824684874314,23.54824684874314,23.54824684874314,23.54824684874314,23.54824684874314,0.23159421066215913,0.03833963100611246,1333.3333333333333,6.695522818739932,73.92141933897672,0.010800338984554356,-24696502.883148193,176987149.22943115,2016-03-08,8,1,68,10,0,0,0,0,0,0,1,2016,3,99.82145690917969,100.6552734375,101.27826690673828,101.3932876586914,100.07350997924804,97.86909904479981,99.34356491088867,1979.260009765625,2001.760009765625,1978.3499755859375,16964.099609375,17073.94921875,16865.080078125,23.548290252685547
2016-03-09,23.59253523743865,23.655412401250736,23.35034533675924,23.548290252685547,108806800,0.6803922726553913,24.1459417489851,21.424372658363534,23.527326583862305,23.722946166992188,23.988418579101562,23.462127685546875,23.469107918940665,23.684751892089842,23.291427421569825,22.785157203674316,22.863989105224608,26.14770890235901,23.548261316723945,23.548261316723945,23.548261316723945,23.548261316723945,23.548261316723945,0.24303191900699161,0.0792780886062883,1333.3333333333335,5.2237617224258095,74.78451778004217,0.010781397230265293,2280989.720916748,155324172.4861145,2016-03-09,9,2,69,10,0,0,0,0,0,0,1,2016,3,100.46359252929688,99.82145690917969,100.6552734375,101.4316177368164,100.2910774230957,98.27643585205078,99.19462341308594,1989.260009765625,1979.260009765625,1986.449951171875,17000.359375,16964.099609375,16899.3203125,23.5599308013916
2016-03-10,23.615822003459794,23.809106636360696,23.32239941102658,23.5599308013916,134054400,0.6717843034517146,24.20906762652623,21.521930412719374,23.548290252685547,23.527326583862305,23.722946166992188,23.636777877807617,23.59253523743865,23.66938247680664,23.39412479400635,22.865499019622803,22.840359344482422,26.116710405349732,23.5521511449465,23.5521511449465,23.5521511449465,23.5521511449465,23.5521511449465,0.25015208277499923,0.11345288744003049,1333.3333333333333,4.557651802444928,75.2637726054286,0.010136148506545314,1560466.7724609375,215403478.6376953,2016-03-10,10,3,70,10,0,0,0,0,0,0,1,2016,3,100.31025695800781,100.46359252929688,99.82145690917969,101.23993682861328,100.3965072631836,98.65837478637695,99.04376525878907,1989.5699462890625,1989.260009765625,1993.4000244140625,16995.130859375,17000.359375,16943.900390625,23.81376838684082
2016-03-11,23.80910989768396,23.818425099304637,23.63678310943406,23.81376838684082,109632800,0.6562573421376666,24.277684209421817,21.652654840871154,23.5599308013916,23.548290252685547,23.527326583862305,23.988418579101562,23.615822003459794,23.634452438354494,23.51871337890625,22.965169525146486,22.812912216186522,26.08420299530029,23.639356892244606,23.639356892244606,23.639356892244606,23.639356892244606,23.639356892244606,0.2731289747911845,0.14538810491026127,1333.3333333333335,5.520614736052103,85.71455896979525,0.008621986555759737,27828925.23803711,218543131.9595337,2016-03-11,11,4,71,10,0,0,0,0,0,0,1,2016,3,102.06417846679688,100.31025695800781,100.46359252929688,101.27826690673828,100.68978729248047,99.13471832275391,98.89405670166016,2022.18994140625,1989.5699462890625,1999.989990234375,17213.310546875,16995.130859375,17006.76953125,23.874311447143555
2016-03-14,23.732259526690974,23.965134207035184,23.701984681162827,23.874311447143555,100304400,0.6345957389496553,24.333681891565085,21.79529893576646,23.81376838684082,23.5599308013916,23.548290252685547,23.722946166992188,23.80910989768396,23.664725494384765,23.654479217529296,23.064490413665773,22.793253860473634,26.05229681968689,23.717675077210924,23.717675077210924,23.717675077210924,23.717675077210924,23.717675077210924,0.2928478781922159,0.1748800595666522,1333.3333333333335,6.029574566689236,88.2071866393703,0.006768394779983258,6072735.33782959,199246442.60787964,2016-03-14,14,0,74,11,0,0,0,0,0,0,1,2016,3,102.23670196533203,102.06417846679688,100.31025695800781,100.6552734375,101.08945693969727,99.54924392700195,98.76754302978516,2019.6400146484375,2022.18994140625,2001.760009765625,17229.130859375,17213.310546875,17073.94921875,24.354034423828125
2016-03-15,24.209651482837938,24.49375887627741,24.18403512594141,24.354034423828125,160270800,0.6817346279370418,24.520411051223203,21.793472539475037,23.874311447143555,23.81376838684082,23.5599308013916,23.527326583862305,23.732259526690974,23.83006706237793,23.74879322052002,23.15694179534912,22.792732696533204,26.024511137008666,23.92979485941666,23.92979485941666,23.92979485941666,23.92979485941666,23.92979485941666,0.3432283632910291,0.20854972031152758,1333.3333333333335,4.028637326014044,93.9577128511594,0.00844384619515293,76885585.25161743,296345138.0699158,2016-03-15,15,1,75,11,0,0,0,0,0,0,1,2016,3,102.1983642578125,102.23670196533203,102.06417846679688,99.82145690917969,101.16996459960937,99.85594367980957,98.6672900390625,2015.9300537109375,2019.6400146484375,1979.260009765625,17251.529296875,17229.130859375,16964.099609375,24.67772674560547
